Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
1958,31,The Big Country,Actor in a Supporting Role,M,1,Burl Ives,White,49,https://image.tmdb.org/t/p/w1280//fx4W7qSBI5392uQL5Cv5a7lSuF4.jpg
1958,31,I Want to Live!,Actress,F,1,Susan Hayward,White,41,https://image.tmdb.org/t/p/w1280//6PeTWJiJmJUG1hqVscVPQOUC8C1.jpg
1958,31,Separate Tables,Actress in a Supporting Role,F,1,Wendy Hiller,White,46,https://image.tmdb.org/t/p/w1280//rXMgKK0F8PRX1sdN9jxeb9SC8c5.jpg
1959,32,Ben-Hur,Actor,M,1,Charlton Heston,White,36,https://image.tmdb.org/t/p/w1280//pXwJV9JlOCKOHSfEJdt2q61SZVq.jpg
1959,32,Ben-Hur,Actor in a Supporting Role,M,1,Hugh Griffith,White,47,https://image.tmdb.org/t/p/w1280//qIFbwovMcEd9dMGCRB0x2RRr3m7.jpg
1959,32,Room at the Top,Actress,F,1,Simone Signoret,White,39,https://image.tmdb.org/t/p/w1280//vRI2Vt3HX911uDrVK170waQsL8b.jpg
1959,32,The Diary of Anne Frank,Actress in a Supporting Role,F,1,Shelley Winters,White,39,https://image.tmdb.org/t/p/w1280//zVg966M0RVK5kycHZUEDc51QULV.jpg
1960,33,Elmer Gantry,Actor,M,1,Burt Lancaster,White,47,https://image.tmdb.org/t/p/w1280//bpAkekuIvKhh9L9Rean3fBznSy5.jpg
1960,33,Spartacus,Actor in a Supporting Role,M,1,Peter Ustinov,White,40,https://image.tmdb.org/t/p/w1280//8Lv4g3ZPVSM1ckKk15OnryX8sL7.jpg
1960,33,Butterfield 8,Actress,F,1,Elizabeth Taylor,White,29,https://image.tmdb.org/t/p/w1280//kLSHCsowVnTvIbDD5Virb0yfLCW.jpg
1960,33,Elmer Gantry,Actress in a Supporting Role,F,1,Shirley Jones,White,27,https://image.tmdb.org/t/p/w1280//jZbS3ej52FOUCBSJCQKQS0MtD87.jpg
1961,34,Judgment at Nuremberg,Actor,M,1,Maximilian Schell,White,31,https://image.tmdb.org/t/p/w1280//xhjyQpOmwDwU48Kq2b1XCEO9G7E.jpg
1961,34,West Side Story,Actor in a Supporting Role,M,1,George Chakiris,White,27,https://image.tmdb.org/t/p/w1280//mdqo9bYM2u3eQHyuqEB7VsA2wmU.jpg
1961,34,Two Women,Actress,F,1,Sophia Loren,White,27,https://image.tmdb.org/t/p/w1280//emKLhbji1c7BjcA2DdbWf0EP9zH.jpg
1961,34,West Side Story,Actress in a Supporting Role,F,1,Rita Moreno,Latinx,30,https://image.tmdb.org/t/p/w1280//cpu3QeMGvbkBLmrFy8dUxEP7zdd.jpg
1962,35,To Kill a Mockingbird,Actor,M,1,Gregory Peck,White,47,https://image.tmdb.org/t/p/w1280//ycs6o0UoohQ7nV7A6VWaTkoIkCQ.jpg
1962,35,Sweet Bird of Youth,Actor in a Supporting Role,M,1,Ed Begley,White,62,https://image.tmdb.org/t/p/w1280//or39TZVqz9egZPDqQ1Lzeago1zr.jpg
1962,35,The Miracle Worker,Actress,F,1,Anne Bancroft,White,31,https://image.tmdb.org/t/p/w1280//ydabiabIsMBe2HsNmx43gBpqzxx.jpg
1962,35,The Miracle Worker,Actress in a Supporting Role,F,1,Patty Duke,White,16,https://image.tmdb.org/t/p/w1280//tQSbfEIuQ4W2tGm2cqrgIrWTYLv.jpg
1963,36,Lilies of the Field,Actor,M,1,Sidney Poitier,White,37,https://image.tmdb.org/t/p/w1280//9LV17m3H7nGCJTXg7pzhK857g6V.jpg
1963,36,Hud,Actor in a Supporting Role,M,1,Melvyn Douglas,White,63,https://image.tmdb.org/t/p/w1280//to1UafQjBjZcN31AAS4fjmubk9Q.jpg
1963,36,Hud,Actress,F,1,Patricia Neal,White,38,https://image.tmdb.org/t/p/w1280//1VPdXeUnI6RcCzLtKv8uTHNB690.jpg
1963,36,The V.I.P.s,Actress in a Supporting Role,F,1,Margaret Rutherford,White,71,https://image.tmdb.org/t/p/w1280//mB0mupPkd27Kb1EgIwAXnY7LpBo.jpg
1964,37,My Fair Lady,Actor,M,1,Rex Harrison,White,57,https://image.tmdb.org/t/p/w1280//nWFxAoYfFURmIxz9YJBQ9DLcDx6.jpg
1964,37,Topkapi,Actor in a Supporting Role,M,1,Peter Ustinov,White,43,https://image.tmdb.org/t/p/w1280//8Lv4g3ZPVSM1ckKk15OnryX8sL7.jpg
1964,37,Mary Poppins,Actress,F,1,Julie Andrews,White,29,https://image.tmdb.org/t/p/w1280//yQ0J92DMiLtQYoytLJ6CuBkdeN0.jpg
1964,37,Zorba the Greek,Actress in a Supporting Role,F,1,Lila Kedrova,White,46,https://image.tmdb.org/t/p/w1280//4yFdLNkEEhONH5hvbfXlOZnRXnw.jpg
1965,38,Cat Ballou,Actor,M,1,Lee Marvin,White,42,https://image.tmdb.org/t/p/w1280//xsXdqvZpxlo7iEm2ODMnXbfNgZM.jpg
1965,38,A Thousand Clowns,Actor in a Supporting Role,M,1,Martin Balsam,White,46,https://image.tmdb.org/t/p/w1280//vOrAfNxbu3Y1eQbdVQGUcmTu9Rc.jpg
1965,38,Darling,Actress,F,1,Julie Christie,White,25,https://image.tmdb.org/t/p/w1280//8ExaneRh7VHcm2rATpau89Qwzjm.jpg
1965,38,A Patch of Blue,Actress in a Supporting Role,F,1,Shelley Winters,White,45,https://image.tmdb.org/t/p/w1280//zVg966M0RVK5kycHZUEDc51QULV.jpg
1966,39,A Man for All Seasons,Actor,M,1,Paul Scofield,White,45,https://image.tmdb.org/t/p/w1280//gt4YFHyhE29CfpiZxknPy0aAGx.jpg
1966,39,The Fortune Cookie,Actor in a Supporting Role,M,1,Walter Matthau,White,46,https://image.tmdb.org/t/p/w1280//xJVkvprOnzP5Zdh5y63y8HHniDZ.jpg
1966,39,Who's Afraid of Virginia Woolf?,Actress,F,1,Elizabeth Taylor,White,35,https://image.tmdb.org/t/p/w1280//kLSHCsowVnTvIbDD5Virb0yfLCW.jpg
1966,39,Who's Afraid of Virginia Woolf?,Actress in a Supporting Role,F,1,Sandy Dennis,White,29,https://image.tmdb.org/t/p/w1280//hy3QacaLrl2GtSPKmZtgSIQJfJG.jpg
1967,40,In the Heat of the Night,Actor,M,1,Rod Steiger,White,42,https://image.tmdb.org/t/p/w1280//cc96tXM1O0PAoyog9hzo1GgSwB5.jpg
1967,40,Cool Hand Luke,Actor in a Supporting Role,M,1,George Kennedy,White,43,https://image.tmdb.org/t/p/w1280//vNYRh8f0QuA2eK8ahKftOBxtDN7.jpg
1967,40,Guess Who's Coming to Dinner,Actress,F,1,Katharine Hepburn,White,60,https://image.tmdb.org/t/p/w1280//ieGNYekIGc5R16cYmIzzyo59Lfz.jpg
1967,40,Bonnie and Clyde,Actress in a Supporting Role,F,1,Estelle Parsons,White,40,https://image.tmdb.org/t/p/w1280//cBw9l1de3bKjr0LpGEGplJuJmPc.jpg
1968,41,Charly,Actor,M,1,Cliff Robertson,White,45,https://image.tmdb.org/t/p/w1280//q8DvYrkVZ6GajgU2V771Y0dOGWy.jpg
1968,41,The Subject Was Roses,Actor in a Supporting Role,M,1,Jack Albertson,White,61,https://image.tmdb.org/t/p/w1280//8vmSxUnRqZ23bCWMim2Y1pOvSAD.jpg
1968,41,The Lion in Winter,Actress,F,1,Katharine Hepburn,White,61,https://image.tmdb.org/t/p/w1280//ieGNYekIGc5R16cYmIzzyo59Lfz.jpg
1968,41,Funny Girl,Actress,F,1,Barbra Streisand,White,26,https://image.tmdb.org/t/p/w1280//dniQkFMeSApui14REFpqeZhlaKK.jpg
1968,41,Rosemary's Baby,Actress in a Supporting Role,F,1,Ruth Gordon,White,72,https://image.tmdb.org/t/p/w1280//155Pa9jPlWEaPK7qZQFWH6kol5A.jpg
1969,42,True Grit,Actor,M,1,John Wayne,White,62,https://image.tmdb.org/t/p/w1280//iw9gHSQj1l3TQeiJb5tNK2N8k2w.jpg
1969,42,"They Shoot Horses, Don't They?",Actor in a Supporting Role,M,1,Gig Young,White,56,https://image.tmdb.org/t/p/w1280//b3ygoxK0hWTDtKdwE0C8fUgLoLu.jpg
